regime,method,seed,system,sd_nmae,sd_nrmse
fewshot_0.01,cpiri,71,hydraulic,1.7122841286886532,1.7857240376573509
fewshot_0.01,cpiri,71,metropt,0.49999637183980106,1.2562535481743289
fewshot_0.01,cpiri,71,pmsm,0.07240522522067676,0.14188019831282392
fewshot_0.01,cpiri,71,steel_industry,0.5102491654721988,0.8673567903972929
fewshot_0.01,cpiri,101,building_energy,0.30533760921701997,0.476460931347041
fewshot_0.01,cpiri,101,hydraulic,1.645443678255985,1.72624190637569
fewshot_0.01,cpiri,101,metropt,0.5058680899910302,1.258724726721579
fewshot_0.01,cpiri,101,pmsm,0.07333373548458597,0.14050252308122985
fewshot_0.01,cpiri,101,steel_industry,0.5098983885524031,0.8827998383565655
fewshot_0.01,tefn,17,building_energy,0.3219568348423785,0.474006673561867
fewshot_0.01,tefn,17,hydraulic,0.16059110936374071,0.21648049532715405
fewshot_0.01,tefn,17,metropt,0.6210275529996405,1.165690071000212
fewshot_0.01,tefn,17,pmsm,0.05055640294415417,0.13521816498815073
fewshot_0.01,tefn,17,steel_industry,0.47709967794488256,0.7080844415600972
fewshot_0.01,tefn,29,building_energy,0.32010812308258,0.4716666952590923
fewshot_0.01,tefn,29,hydraulic,0.13295184593856302,0.19572474574589185
fewshot_0.01,tefn,29,metropt,0.6061622547700226,1.1578375527424887
fewshot_0.01,tefn,29,pmsm,0.050371347098643854,0.13516556337111216
fewshot_0.01,tefn,29,steel_industry,0.49242286660503487,0.7197658076348971
fewshot_0.01,tefn,43,building_energy,0.3234085859735937,0.47597852619085745
fewshot_0.01,tefn,43,hydraulic,0.19891232753024218,0.25659974494411153
fewshot_0.01,tefn,43,metropt,0.6282505198704188,1.166430892684589
fewshot_0.01,tefn,43,pmsm,0.050869408859779565,0.13567314224350052
fewshot_0.01,tefn,43,steel_industry,0.49087290199634587,0.7186219547944317
fewshot_0.01,tefn,71,building_energy,0.3206965310097946,0.47380796550072535
fewshot_0.01,tefn,71,hydraulic,0.20520766108909433,0.2662398236565735
fewshot_0.01,tefn,71,metropt,0.6162637392732261,1.164676317691838
fewshot_0.01,tefn,71,pmsm,0.05078872604556467,0.13563025636708484
fewshot_0.01,tefn,71,steel_industry,0.4878001684867314,0.7213811455418899
fewshot_0.01,tefn,101,building_energy,0.32451995341115397,0.47677552081230623
fewshot_0.01,tefn,101,hydraulic,0.17027844583331006,0.2317554364157213
fewshot_0.01,tefn,101,metropt,0.6231899145976981,1.1667115011811455
fewshot_0.01,tefn,101,pmsm,0.05095056685678506,0.135696064811425
fewshot_0.01,tefn,101,steel_industry,0.4910909195405863,0.7190884630052634
fewshot_0.01,tggc,17,building_energy,0.4335181705487709,0.5985519173026437
fewshot_0.01,tggc,17,hydraulic,12.89437029307107,13.612361602234675
fewshot_0.01,tggc,17,metropt,1.246923442932675,10.230502556353049
fewshot_0.01,tggc,17,pmsm,0.12451953273345405,0.22041433106764477
fewshot_0.01,tggc,17,steel_industry,0.5568807616161771,0.7860497327290261
fewshot_0.01,tggc,29,building_energy,0.47671540375109334,0.652834360072504
fewshot_0.01,tggc,29,hydraulic,36.4948843446546,38.145470997410406
fewshot_0.01,tggc,29,metropt,0.8952884467148756,5.233166490492221
fewshot_0.01,tggc,29,pmsm,0.11839248594299367,0.2077115421441189
fewshot_0.01,tggc,29,steel_industry,0.7062802824350376,0.8832640446656275
fewshot_0.01,tggc,43,building_energy,0.7000995185039756,1.0774780489833922
fewshot_0.01,tggc,43,hydraulic,2.9184906715062864,3.6984734664579584
fewshot_0.01,tggc,43,metropt,1.1303953737324623,8.850287284841333
fewshot_0.01,tggc,43,pmsm,0.14332472469021246,0.21907003203464248
fewshot_0.01,tggc,43,steel_industry,0.6887448108498397,0.8699022666493296
fewshot_0.01,tggc,71,building_energy,1.1030319819965606,1.5875046664900188
fewshot_0.01,tggc,71,hydraulic,14.490170667840948,15.824707008228911
fewshot_0.01,tggc,71,metropt,1.1908851085848284,4.90643635175787
fewshot_0.01,tggc,71,pmsm,0.08337225311424978,0.1577457248565579
fewshot_0.01,tggc,71,steel_industry,0.5501828905553782,0.7693781196651068
fewshot_0.01,tggc,101,building_energy,1.6530741596913405,3.0984816397184147
fewshot_0.01,tggc,101,hydraulic,28.25972731023653,29.57243612263402
fewshot_0.01,tggc,101,metropt,1.4578812987527445,7.353062945025194
fewshot_0.01,tggc,101,pmsm,0.1234086252953811,0.2014768743798332
fewshot_0.01,tggc,101,steel_industry,0.6935498886341727,0.8656999506201103
fewshot_0.01,gtm_gaugeformer,17,building_energy,0.2816314633541783,0.44312969609257535
fewshot_0.01,gtm_gaugeformer,17,hydraulic,0.07710422131445333,0.15178430740073667
fewshot_0.01,gtm_gaugeformer,17,metropt,0.5368687977457604,1.1734941645961139
fewshot_0.01,gtm_gaugeformer,17,pmsm,0.04839981198549259,0.13071194299364697
fewshot_0.01,gtm_gaugeformer,17,steel_industry,0.49681267983708555,0.786197936093673
fewshot_0.01,gtm_gaugeformer,29,building_energy,0.28576477429111724,0.45092221275123917
fewshot_0.01,gtm_gaugeformer,29,hydraulic,0.0734398971688802,0.14768329491522658
fewshot_0.01,gtm_gaugeformer,29,metropt,0.5317726392558659,1.174859994384749
fewshot_0.01,gtm_gaugeformer,29,pmsm,0.048213754379745406,0.13064226104094653
fewshot_0.01,gtm_gaugeformer,29,steel_industry,0.4975205550997899,0.7872797846472267
fewshot_0.01,gtm_gaugeformer,43,building_energy,0.2863059660440041,0.4469786984366178
fewshot_0.01,gtm_gaugeformer,43,hydraulic,0.072686310474661,0.1461585224009705
fewshot_0.01,gtm_gaugeformer,43,metropt,0.5327404990966861,1.1735405842258912
fewshot_0.01,gtm_gaugeformer,43,pmsm,0.04849916117708552,0.13097512876424913
fewshot_0.01,gtm_gaugeformer,43,steel_industry,0.5054742472386525,0.7882795122408083
fewshot_0.01,gtm_gaugeformer,71,building_energy,0.28299909697617187,0.44617489587699216
fewshot_0.01,gtm_gaugeformer,71,hydraulic,0.0724395046841722,0.14587724341831715
fewshot_0.01,gtm_gaugeformer,71,metropt,0.5342753539517363,1.174225452856005
fewshot_0.01,gtm_gaugeformer,71,pmsm,0.04865639305244354,0.1310996893570691
fewshot_0.01,gtm_gaugeformer,71,steel_industry,0.4926086819366242,0.7818478325820754
fewshot_0.01,gtm_gaugeformer,101,building_energy,0.28537294946942976,0.4469449430320402
fewshot_0.01,gtm_gaugeformer,101,hydraulic,0.07229242702180917,0.14467408384332284
fewshot_0.01,gtm_gaugeformer,101,metropt,0.5385447638940054,1.1747718622381775
fewshot_0.01,gtm_gaugeformer,101,pmsm,0.04856571524268557,0.13061487610414033
fewshot_0.01,gtm_gaugeformer,101,steel_industry,0.4904151082597936,0.7820600312652882
fewshot_0.05,moirai,17,building_energy,0.25115831605280153,0.4225087358860555
fewshot_0.05,moirai,17,hydraulic,0.10996203479197363,0.20702294087147874
fewshot_0.05,moirai,17,metropt,0.47850814791497587,1.193487802806023
fewshot_0.05,moirai,17,pmsm,0.046339433985226997,0.1305711735263764
fewshot_0.05,moirai,17,steel_industry,0.47162402253414515,0.8829813989927336
fewshot_0.05,moirai,29,building_energy,0.25073817796995573,0.42184864300349856
fewshot_0.05,moirai,29,hydraulic,0.11038257689910787,0.20748863437169224
fewshot_0.05,moirai,29,metropt,0.47903398144836457,1.1936335222354402
fewshot_0.05,moirai,29,pmsm,0.046280862057012345,0.130426444877723
fewshot_0.05,moirai,29,steel_industry,0.4703147687148138,0.8820966552568097
fewshot_0.05,moirai,43,building_energy,0.25031799460421833,0.4212378271028425
fewshot_0.05,moirai,43,hydraulic,0.10988405689853786,0.20704354296965297
fewshot_0.05,moirai,43,metropt,0.47812395533773383,1.1923391895652828
fewshot_0.05,moirai,43,pmsm,0.0462489566402088,0.13026192913832915
fewshot_0.05,moirai,43,steel_industry,0.4703578190071466,0.8812717880426518
fewshot_0.05,moirai,71,building_energy,0.2508781366126192,0.421846171245917
fewshot_0.05,moirai,71,hydraulic,0.10979413200537096,0.2069974667520711
fewshot_0.05,moirai,71,metropt,0.4801026000484597,1.192412312347882
fewshot_0.05,moirai,71,pmsm,0.04625045296712466,0.13037705782710007
