backbone,variant,seed,system,condition,replicate,sd_nmae,sd_nrmse,mae_relative_change,mean_sd_normalized_prediction_change,no_op_deletion
gtm,raw,101,pmsm,permutation,rep2,0.05877908366087998,0.15159850335741057,0.0,0.0,False
gtm,full,101,pmsm,permutation,rep2,0.051987552479664766,0.14315974145331387,0.0,0.0,False
gtm,raw,101,pmsm,deletion_30,rep2,0.05877908366087998,0.15159850335741057,0.0,0.0,True
gtm,full,101,pmsm,deletion_30,rep2,0.051987552479664766,0.14315974145331387,0.0,0.0,True
gtm,raw,101,pmsm,deletion_50,rep2,0.05877908366087998,0.15159850335741057,0.0,0.0,True
gtm,full,101,pmsm,deletion_50,rep2,0.051987552479664766,0.14315974145331387,0.0,0.0,True
gtm,raw,101,pmsm,insertion_1,rep2,0.058779082216040134,0.1515985028836735,-2.458085013312683e-06,1.583046297699582e-08,False
gtm,full,101,pmsm,insertion_1,rep2,0.05198755160251941,0.1431597418638393,-1.687221873325484e-06,9.076694591357176e-09,False
gtm,raw,101,pmsm,insertion_4,rep2,0.05877908366087998,0.15159850335741057,0.0,0.0,False
gtm,full,101,pmsm,insertion_4,rep2,0.051987552479664766,0.14315974145331387,0.0,0.0,False
gtm,raw,101,steel_industry,reference,rep0,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,reference,rep0,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,legal_gauge_direct,rep0,0.36368694383179917,0.5890698716447744,0.09431672104176503,0.006433508125486089,False
gtm,full,101,steel_industry,legal_gauge_direct,rep0,0.35216446548271635,0.6019082668318967,0.09504234484694063,0.005133226301364793,False
gtm,raw,101,steel_industry,legal_gauge_canonical_preprocessing,rep0,0.3633442438397362,0.58876795965916,-1.543959560201813e-06,1.6183692859952627e-07,False
gtm,full,101,steel_industry,legal_gauge_canonical_preprocessing,rep0,0.3518300729437892,0.6019078864483044,-1.4163054840032885e-06,1.4520922480461156e-07,False
gtm,raw,101,steel_industry,permutation,rep0,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,permutation,rep0,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,deletion_30,rep0,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,deletion_30,rep0,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,deletion_50,rep0,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,deletion_50,rep0,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,insertion_1,rep0,0.3633442495234032,0.5887679570731648,2.0305468417802786e-08,1.4286475013899236e-07,False
gtm,full,101,steel_industry,insertion_1,rep0,0.3518300777429227,0.6019078824592459,-5.225682109255558e-08,1.2179735058159224e-07,False
gtm,raw,101,steel_industry,insertion_4,rep0,0.3633442519739545,0.5887679635257544,6.947488584430062e-07,1.4621460165827128e-07,False
gtm,full,101,steel_industry,insertion_4,rep0,0.3518300810355542,0.6019078891239187,8.836016363034105e-07,1.2488835883779367e-07,False
gtm,raw,101,steel_industry,permutation,rep1,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,permutation,rep1,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,deletion_30,rep1,0.36334424944962446,0.5887679572084389,0.0,0.0,False
