system,seed,method,bin,first_window,last_window,windows,progress_percent,sd_nmae
hydraulic,17,gaugeformer_v13,5,89,110,22,22.675736961451246,0.10418404929045956
hydraulic,17,gaugeformer_v13,6,111,132,22,27.664399092970523,0.10410406279212407
hydraulic,17,gaugeformer_v13,7,133,154,22,32.6530612244898,0.1636216988241747
hydraulic,17,gaugeformer_v13,8,155,176,22,37.641723356009074,0.10296726941862817
hydraulic,17,gaugeformer_v13,9,177,198,22,42.63038548752834,0.10454369731806822
hydraulic,17,gaugeformer_v13,10,199,220,22,47.61904761904762,0.10169686796262165
hydraulic,17,gaugeformer_v13,11,221,242,22,52.60770975056689,0.10358542088904672
hydraulic,17,gaugeformer_v13,12,243,264,22,57.59637188208617,0.10127543473444013
hydraulic,17,gaugeformer_v13,13,265,286,22,62.585034013605444,0.10472611269685075
hydraulic,17,gaugeformer_v13,14,287,308,22,67.57369614512471,0.10489961044241157
hydraulic,17,gaugeformer_v13,15,309,330,22,72.56235827664399,0.10100482885524555
hydraulic,17,gaugeformer_v13,16,331,352,22,77.55102040816327,0.10266531580412912
hydraulic,17,gaugeformer_v13,17,353,374,22,82.53968253968254,0.10137647738402983
hydraulic,17,gaugeformer_v13,18,375,396,22,87.52834467120181,0.1024485146761939
hydraulic,17,gaugeformer_v13,19,397,418,22,92.51700680272108,0.10605696985289208
hydraulic,17,gaugeformer_v13,20,419,440,22,97.50566893424036,0.10424685889143101
hydraulic,29,moirai,1,0,22,23,2.6077097505668934,0.10872364260822598
hydraulic,29,moirai,2,23,44,22,7.709750566893424,0.11130295715197273
hydraulic,29,moirai,3,45,66,22,12.698412698412698,0.10696337655029248
hydraulic,29,moirai,4,67,88,22,17.687074829931973,0.10653827489210109
hydraulic,29,moirai,5,89,110,22,22.675736961451246,0.10896611811338745
hydraulic,29,moirai,6,111,132,22,27.664399092970523,0.1094241132796716
hydraulic,29,moirai,7,133,154,22,32.6530612244898,0.16388286221518453
hydraulic,29,moirai,8,155,176,22,37.641723356009074,0.1069579116323167
hydraulic,29,moirai,9,177,198,22,42.63038548752834,0.10887964394815736
hydraulic,29,moirai,10,199,220,22,47.61904761904762,0.1055692848664367
hydraulic,29,moirai,11,221,242,22,52.60770975056689,0.10835933175941016
hydraulic,29,moirai,12,243,264,22,57.59637188208617,0.10598493565161932
hydraulic,29,moirai,13,265,286,22,62.585034013605444,0.10930871288426343
hydraulic,29,moirai,14,287,308,22,67.57369614512471,0.10923504986477806
hydraulic,29,moirai,15,309,330,22,72.56235827664399,0.10574945934634795
hydraulic,29,moirai,16,331,352,22,77.55102040816327,0.1066261029237766
hydraulic,29,moirai,17,353,374,22,82.53968253968254,0.10602995267099927
hydraulic,29,moirai,18,375,396,22,87.52834467120181,0.10690648069524909
hydraulic,29,moirai,19,397,418,22,92.51700680272108,0.11103528011465406
hydraulic,29,moirai,20,419,440,22,97.50566893424036,0.10858756493212247
hydraulic,29,gaugeformer_v13,1,0,22,23,2.6077097505668934,0.10741759933262313
hydraulic,29,gaugeformer_v13,2,23,44,22,7.709750566893424,0.10706569433574777
hydraulic,29,gaugeformer_v13,3,45,66,22,12.698412698412698,0.1025641357382615
hydraulic,29,gaugeformer_v13,4,67,88,22,17.687074829931973,0.10286850556725347
hydraulic,29,gaugeformer_v13,5,89,110,22,22.675736961451246,0.10453361192622161
hydraulic,29,gaugeformer_v13,6,111,132,22,27.664399092970523,0.10457691236073094
hydraulic,29,gaugeformer_v13,7,133,154,22,32.6530612244898,0.16336420541822808
hydraulic,29,gaugeformer_v13,8,155,176,22,37.641723356009074,0.10333288342718676
hydraulic,29,gaugeformer_v13,9,177,198,22,42.63038548752834,0.10459047894558551
hydraulic,29,gaugeformer_v13,10,199,220,22,47.61904761904762,0.1017751733046397
hydraulic,29,gaugeformer_v13,11,221,242,22,52.60770975056689,0.10386878243911046
hydraulic,29,gaugeformer_v13,12,243,264,22,57.59637188208617,0.10138251187653283
hydraulic,29,gaugeformer_v13,13,265,286,22,62.585034013605444,0.10473622399064424
hydraulic,29,gaugeformer_v13,14,287,308,22,67.57369614512471,0.10500441301136308
hydraulic,29,gaugeformer_v13,15,309,330,22,72.56235827664399,0.10132208966893251
hydraulic,29,gaugeformer_v13,16,331,352,22,77.55102040816327,0.10260344936683936
hydraulic,29,gaugeformer_v13,17,353,374,22,82.53968253968254,0.10157343938418036
hydraulic,29,gaugeformer_v13,18,375,396,22,87.52834467120181,0.10273435207156482
hydraulic,29,gaugeformer_v13,19,397,418,22,92.51700680272108,0.10630550464012176
hydraulic,29,gaugeformer_v13,20,419,440,22,97.50566893424036,0.10438266684777164
hydraulic,43,moirai,1,0,22,23,2.6077097505668934,0.10842823744031667
hydraulic,43,moirai,2,23,44,22,7.709750566893424,0.11084450880680526
hydraulic,43,moirai,3,45,66,22,12.698412698412698,0.10642389575654139
hydraulic,43,moirai,4,67,88,22,17.687074829931973,0.10631129832054736
hydraulic,43,moirai,5,89,110,22,22.675736961451246,0.1085245574178888
hydraulic,43,moirai,6,111,132,22,27.664399092970523,0.10902071382405246
hydraulic,43,moirai,7,133,154,22,32.6530612244898,0.1640099153756149
hydraulic,43,moirai,8,155,176,22,37.641723356009074,0.10638381111948585
hydraulic,43,moirai,9,177,198,22,42.63038548752834,0.10858627299885332
hydraulic,43,moirai,10,199,220,22,47.61904761904762,0.10524837133802388
hydraulic,43,moirai,11,221,242,22,52.60770975056689,0.10760539928870515
hydraulic,43,moirai,12,243,264,22,57.59637188208617,0.10566615530469095
hydraulic,43,moirai,13,265,286,22,62.585034013605444,0.10874922120467392
hydraulic,43,moirai,14,287,308,22,67.57369614512471,0.10886504562113819
hydraulic,43,moirai,15,309,330,22,72.56235827664399,0.1052874356183307
hydraulic,43,moirai,16,331,352,22,77.55102040816327,0.10633100394939071
hydraulic,43,moirai,17,353,374,22,82.53968253968254,0.10568261772638696
hydraulic,43,moirai,18,375,396,22,87.52834467120181,0.10647987201845081
hydraulic,43,moirai,19,397,418,22,92.51700680272108,0.11041741206442379
hydraulic,43,moirai,20,419,440,22,97.50566893424036,0.108193685540282
hydraulic,43,gaugeformer_v13,1,0,22,23,2.6077097505668934,0.10719112475539208
hydraulic,43,gaugeformer_v13,2,23,44,22,7.709750566893424,0.1068455095250676
hydraulic,43,gaugeformer_v13,3,45,66,22,12.698412698412698,0.10230475165886323
hydraulic,43,gaugeformer_v13,4,67,88,22,17.687074829931973,0.10279085223153567
hydraulic,43,gaugeformer_v13,5,89,110,22,22.675736961451246,0.10431697807071065
hydraulic,43,gaugeformer_v13,6,111,132,22,27.664399092970523,0.10442595694314792
hydraulic,43,gaugeformer_v13,7,133,154,22,32.6530612244898,0.16352108151144862
hydraulic,43,gaugeformer_v13,8,155,176,22,37.641723356009074,0.10303550630705019
hydraulic,43,gaugeformer_v13,9,177,198,22,42.63038548752834,0.10448530634272343
hydraulic,43,gaugeformer_v13,10,199,220,22,47.61904761904762,0.10160735130048021
hydraulic,43,gaugeformer_v13,11,221,242,22,52.60770975056689,0.10351876880064062
hydraulic,43,gaugeformer_v13,12,243,264,22,57.59637188208617,0.10125446766989125
hydraulic,43,gaugeformer_v13,13,265,286,22,62.585034013605444,0.10446654628642628
hydraulic,43,gaugeformer_v13,14,287,308,22,67.57369614512471,0.10477626484221135
hydraulic,43,gaugeformer_v13,15,309,330,22,72.56235827664399,0.10114222424123645
hydraulic,43,gaugeformer_v13,16,331,352,22,77.55102040816327,0.10258550394012612
hydraulic,43,gaugeformer_v13,17,353,374,22,82.53968253968254,0.10137074996845227
hydraulic,43,gaugeformer_v13,18,375,396,22,87.52834467120181,0.10251329658570874
hydraulic,43,gaugeformer_v13,19,397,418,22,92.51700680272108,0.10599288404924997
hydraulic,43,gaugeformer_v13,20,419,440,22,97.50566893424036,0.10425641851297057
hydraulic,71,moirai,1,0,22,23,2.6077097505668934,0.10883926882587983
hydraulic,71,moirai,2,23,44,22,7.709750566893424,0.1107186050610619
hydraulic,71,moirai,3,45,66,22,12.698412698412698,0.10649670197889478
hydraulic,71,moirai,4,67,88,22,17.687074829931973,0.10611871557687381
hydraulic,71,moirai,5,89,110,22,22.675736961451246,0.1084262751887881
hydraulic,71,moirai,6,111,132,22,27.664399092970523,0.10867758335596038
hydraulic,71,moirai,7,133,154,22,32.6530612244898,0.16340454778995964
hydraulic,71,moirai,8,155,176,22,37.641723356009074,0.10628630647293702
hydraulic,71,moirai,9,177,198,22,42.63038548752834,0.10845192155465555
hydraulic,71,moirai,10,199,220,22,47.61904761904762,0.10491711035193038
hydraulic,71,moirai,11,221,242,22,52.60770975056689,0.10779123379651921
hydraulic,71,moirai,12,243,264,22,57.59637188208617,0.10573328810831494
hydraulic,71,moirai,13,265,286,22,62.585034013605444,0.10867041535562802
hydraulic,71,moirai,14,287,308,22,67.57369614512471,0.10869833830866404
hydraulic,71,moirai,15,309,330,22,72.56235827664399,0.10519118640354724
hydraulic,71,moirai,16,331,352,22,77.55102040816327,0.1061444195615252
hydraulic,71,moirai,17,353,374,22,82.53968253968254,0.10565275162188895
hydraulic,71,moirai,18,375,396,22,87.52834467120181,0.10666248121716201
hydraulic,71,moirai,19,397,418,22,92.51700680272108,0.11054481449991577
hydraulic,71,moirai,20,419,440,22,97.50566893424036,0.10815994441978015
hydraulic,71,gaugeformer_v13,1,0,22,23,2.6077097505668934,0.10745254463373681
hydraulic,71,gaugeformer_v13,2,23,44,22,7.709750566893424,0.10668490632162002
hydraulic,71,gaugeformer_v13,3,45,66,22,12.698412698412698,0.10228017426315243
hydraulic,71,gaugeformer_v13,4,67,88,22,17.687074829931973,0.1026278981401562
hydraulic,71,gaugeformer_v13,5,89,110,22,22.675736961451246,0.10429915872338134
hydraulic,71,gaugeformer_v13,6,111,132,22,27.664399092970523,0.10416683964020923
hydraulic,71,gaugeformer_v13,7,133,154,22,32.6530612244898,0.16335129496944187
hydraulic,71,gaugeformer_v13,8,155,176,22,37.641723356009074,0.1029202528521139
hydraulic,71,gaugeformer_v13,9,177,198,22,42.63038548752834,0.10437112928246371
hydraulic,71,gaugeformer_v13,10,199,220,22,47.61904761904762,0.10123324426096181
hydraulic,71,gaugeformer_v13,11,221,242,22,52.60770975056689,0.1036100683840934
hydraulic,71,gaugeformer_v13,12,243,264,22,57.59637188208617,0.10123488791614026
hydraulic,71,gaugeformer_v13,13,265,286,22,62.585034013605444,0.10437246408476084
hydraulic,71,gaugeformer_v13,14,287,308,22,67.57369614512471,0.10465961476956491
hydraulic,71,gaugeformer_v13,15,309,330,22,72.56235827664399,0.10097286444628052
hydraulic,71,gaugeformer_v13,16,331,352,22,77.55102040816327,0.10235271683804797
hydraulic,71,gaugeformer_v13,17,353,374,22,82.53968253968254,0.10126418199597957
hydraulic,71,gaugeformer_v13,18,375,396,22,87.52834467120181,0.10267666725463583
hydraulic,71,gaugeformer_v13,19,397,418,22,92.51700680272108,0.10603554981084892
hydraulic,71,gaugeformer_v13,20,419,440,22,97.50566893424036,0.10413457612202824
hydraulic,101,moirai,1,0,22,23,2.6077097505668934,0.10883637637673682
hydraulic,101,moirai,2,23,44,22,7.709750566893424,0.11114626124053119
hydraulic,101,moirai,3,45,66,22,12.698412698412698,0.10663977238185345
hydraulic,101,moirai,4,67,88,22,17.687074829931973,0.10654237674803069
hydraulic,101,moirai,5,89,110,22,22.675736961451246,0.10869757828028427
hydraulic,101,moirai,6,111,132,22,27.664399092970523,0.10911502070687652
hydraulic,101,moirai,7,133,154,22,32.6530612244898,0.1649498223493218
hydraulic,101,moirai,8,155,176,22,37.641723356009074,0.1068427576924609
hydraulic,101,moirai,9,177,198,22,42.63038548752834,0.10876061468127446
hydraulic,101,moirai,10,199,220,22,47.61904761904762,0.10535843843193148
hydraulic,101,moirai,11,221,242,22,52.60770975056689,0.1081099916081166
hydraulic,101,moirai,12,243,264,22,57.59637188208617,0.10613432070673387
hydraulic,101,moirai,13,265,286,22,62.585034013605444,0.10897702764314757
