system,seed,method,bin,step,sd_nmae
building_energy,17,moirai,13,3,0.06300016137727016
building_energy,17,moirai,13,4,0.08986454684594948
building_energy,17,moirai,13,5,0.10910325325784709
building_energy,17,moirai,13,6,0.12729113113392632
building_energy,17,moirai,13,7,0.13820215411213274
building_energy,17,moirai,13,8,0.1550152277458087
building_energy,17,moirai,13,9,0.1877627956713092
building_energy,17,moirai,13,10,0.21165031093182674
building_energy,17,moirai,13,11,0.22515964739658095
building_energy,17,moirai,13,12,0.2358199937868783
building_energy,17,moirai,13,13,0.24753656144836003
building_energy,17,moirai,13,14,0.26024394279728275
building_energy,17,moirai,13,15,0.26861924723229164
building_energy,17,moirai,13,16,0.3020770692960123
building_energy,17,moirai,13,17,0.30464655173940847
building_energy,17,moirai,13,18,0.3126439034153879
building_energy,17,moirai,13,19,0.3313839105851511
building_energy,17,moirai,13,20,0.3420451786620671
building_energy,17,moirai,13,21,0.3555662149845156
building_energy,17,moirai,13,22,0.40248247345138005
building_energy,17,moirai,13,23,0.4070485666990687
building_energy,17,moirai,13,24,0.40932843264198443
building_energy,17,moirai,14,1,0.02859539880157925
building_energy,17,moirai,14,2,0.054098111998496116
building_energy,17,moirai,14,3,0.08149597561703395
building_energy,17,moirai,14,4,0.08296922560245433
building_energy,17,moirai,14,5,0.11117320489127903
building_energy,17,moirai,14,6,0.12266395860553832
building_energy,17,moirai,14,7,0.14179211029343206
building_energy,17,moirai,14,8,0.15560820564714828
building_energy,17,moirai,14,9,0.18227683742058076
building_energy,17,moirai,14,10,0.20330590139732616
building_energy,17,moirai,14,11,0.21549453568226967
building_energy,17,moirai,14,12,0.23661710370857708
building_energy,17,moirai,14,13,0.2557312653377466
building_energy,17,moirai,14,14,0.28656267965913507
building_energy,17,moirai,14,15,0.3071269748972681
building_energy,17,moirai,14,16,0.3242346649936769
building_energy,17,moirai,14,17,0.36111223620980554
building_energy,17,moirai,14,18,0.37039703434537274
building_energy,17,moirai,14,19,0.38117601087353437
building_energy,17,moirai,14,20,0.39863971497180767
building_energy,17,moirai,14,21,0.39608791124896114
building_energy,17,moirai,14,22,0.4129773065814082
building_energy,17,moirai,14,23,0.4188739797843918
building_energy,17,moirai,14,24,0.40795581843889744
building_energy,17,moirai,15,1,0.054397351065714236
building_energy,17,moirai,15,2,0.0760565587156228
building_energy,17,moirai,15,3,0.10261625057166722
building_energy,17,moirai,15,4,0.12271261492004423
building_energy,17,moirai,15,5,0.13774528396792224
building_energy,17,moirai,15,6,0.1590295010258143
building_energy,17,moirai,15,7,0.18415029689516482
building_energy,17,moirai,15,8,0.19798990124258078
building_energy,17,moirai,15,9,0.25880466002892205
building_energy,17,moirai,15,10,0.2691603026459681
building_energy,17,moirai,15,11,0.27085072710526387
building_energy,17,moirai,15,12,0.2685584209570437
building_energy,17,moirai,15,13,0.2725609013094067
building_energy,17,moirai,15,14,0.27724602040681795
building_energy,17,moirai,15,15,0.29274311338866105
building_energy,17,moirai,15,16,0.2868320699080942
building_energy,17,moirai,15,17,0.30965036967507636
