system,seed,method,step,sd_nmae
building_energy,29,gaugeformer_v13,2,0.06602028798973635
building_energy,29,gaugeformer_v13,3,0.09124345666498551
building_energy,29,gaugeformer_v13,4,0.11267230019187584
building_energy,29,gaugeformer_v13,5,0.1370348850617174
building_energy,29,gaugeformer_v13,6,0.15122234625290573
building_energy,29,gaugeformer_v13,7,0.1702466375052299
building_energy,29,gaugeformer_v13,8,0.18706646513149783
building_energy,29,gaugeformer_v13,9,0.21171246956171577
building_energy,29,gaugeformer_v13,10,0.23143235293068307
building_energy,29,gaugeformer_v13,11,0.2443295695020622
building_energy,29,gaugeformer_v13,12,0.2530961908115282
building_energy,29,gaugeformer_v13,13,0.2638827934846029
building_energy,29,gaugeformer_v13,14,0.27786359874363736
building_energy,29,gaugeformer_v13,15,0.28921164381060355
building_energy,29,gaugeformer_v13,16,0.30177845937483766
building_energy,29,gaugeformer_v13,17,0.32058251131391813
building_energy,29,gaugeformer_v13,18,0.3350354213950869
building_energy,29,gaugeformer_v13,19,0.34387916342622143
building_energy,29,gaugeformer_v13,20,0.3576131977730123
building_energy,29,gaugeformer_v13,21,0.37065479948799174
building_energy,29,gaugeformer_v13,22,0.3876635149043105
building_energy,29,gaugeformer_v13,23,0.4020331111849525
building_energy,29,gaugeformer_v13,24,0.41605879940570983
building_energy,29,blend_persistence,1,0.0401924289472771
building_energy,29,blend_persistence,2,0.06826512467275239
building_energy,29,blend_persistence,3,0.0954872983155368
building_energy,29,blend_persistence,4,0.11936935468376365
building_energy,29,blend_persistence,5,0.14496216487318941
building_energy,29,blend_persistence,6,0.1616640572458883
building_energy,29,blend_persistence,7,0.1801771159093514
building_energy,29,blend_persistence,8,0.19684637059483204
building_energy,29,blend_persistence,9,0.22287699638553954
building_energy,29,blend_persistence,10,0.24247911368794225
building_energy,29,blend_persistence,11,0.2580683114543932
building_energy,29,blend_persistence,12,0.2663317729209965
building_energy,29,blend_persistence,13,0.2775710900111566
building_energy,29,blend_persistence,14,0.29170185001120597
building_energy,29,blend_persistence,15,0.30512744619234033
building_energy,29,blend_persistence,16,0.31697374203788004
building_energy,29,blend_persistence,17,0.3340373065575725
building_energy,29,blend_persistence,18,0.3471543651128033
building_energy,29,blend_persistence,19,0.35581647263524446
building_energy,29,blend_persistence,20,0.3694938050935589
building_energy,29,blend_persistence,21,0.3832437906327885
building_energy,29,blend_persistence,22,0.4004726567152755
building_energy,29,blend_persistence,23,0.41585015541326537
building_energy,29,blend_persistence,24,0.42954180800586583
building_energy,29,blend_history,1,0.0407875791389952
building_energy,29,blend_history,2,0.06702579114860795
building_energy,29,blend_history,3,0.09294269730671302
building_energy,29,blend_history,4,0.11522099305343031
building_energy,29,blend_history,5,0.1394950830078347
building_energy,29,blend_history,6,0.15434803313254575
building_energy,29,blend_history,7,0.17312348030021224
