backbone,method,regime,seed,system,sd_nmae,sd_nrmse
timer_xl,timer_xl_history_local,joint,71,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,joint,71,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,joint,71,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,joint,71,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,joint,71,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_history_local,joint,101,building_energy,0.26561211757326253,0.4535663371606191
timer_xl,timer_xl_history_local,joint,101,hydraulic,0.10475396479141436,0.20520603126548675
timer_xl,timer_xl_history_local,joint,101,metropt,0.521802186122391,1.2745500342729446
timer_xl,timer_xl_history_local,joint,101,pmsm,0.0448787520407887,0.12687435220184543
timer_xl,timer_xl_history_local,joint,101,steel_industry,0.4751807340972876,0.9147946679313842
timer_xl,timer_xl_persistence_blend,joint,17,building_energy,0.24126270821911047,0.39516621590921935
timer_xl,timer_xl_persistence_blend,joint,17,hydraulic,0.06154664937637246,0.12502540426379158
timer_xl,timer_xl_persistence_blend,joint,17,metropt,0.43121318300678396,1.0737456354467494
timer_xl,timer_xl_persistence_blend,joint,17,pmsm,0.04464632525717938,0.12431361785785332
timer_xl,timer_xl_persistence_blend,joint,17,steel_industry,0.36073598975935844,0.630383381902661
timer_xl,timer_xl_persistence_blend,joint,29,building_energy,0.24339771394942186,0.3978751194627591
timer_xl,timer_xl_persistence_blend,joint,29,hydraulic,0.06108197649152055,0.12468430410053088
timer_xl,timer_xl_persistence_blend,joint,29,metropt,0.43296997376515695,1.0785176058446573
timer_xl,timer_xl_persistence_blend,joint,29,pmsm,0.04479237543758011,0.1243887283206014
timer_xl,timer_xl_persistence_blend,joint,29,steel_industry,0.3637080756571317,0.6365635922412463
timer_xl,timer_xl_persistence_blend,joint,43,building_energy,0.2422173460333782,0.39501130880297425
timer_xl,timer_xl_persistence_blend,joint,43,hydraulic,0.06235263368885061,0.12640421661822995
timer_xl,timer_xl_persistence_blend,joint,43,metropt,0.4321381383384745,1.0768687232911145
timer_xl,timer_xl_persistence_blend,joint,43,pmsm,0.045071225052279916,0.1247885925797446
timer_xl,timer_xl_persistence_blend,joint,43,steel_industry,0.36387597984240644,0.635715371036282
timer_xl,timer_xl_persistence_blend,joint,71,building_energy,0.24124099556170575,0.39531644464550136
timer_xl,timer_xl_persistence_blend,joint,71,hydraulic,0.06151776492303591,0.12496278547368049
timer_xl,timer_xl_persistence_blend,joint,71,metropt,0.4290729101880771,1.0728881474349552
timer_xl,timer_xl_persistence_blend,joint,71,pmsm,0.044717888343207994,0.12438675533013893
timer_xl,timer_xl_persistence_blend,joint,71,steel_industry,0.3633155400100792,0.6358911623035616
timer_xl,timer_xl_persistence_blend,joint,101,building_energy,0.24263991556502473,0.3968996186059174
timer_xl,timer_xl_persistence_blend,joint,101,hydraulic,0.06286137226899333,0.12549483189309174
timer_xl,timer_xl_persistence_blend,joint,101,metropt,0.43274109356622,1.0712197266711618
timer_xl,timer_xl_persistence_blend,joint,101,pmsm,0.04474318841457917,0.12450560188492045
timer_xl,timer_xl_persistence_blend,joint,101,steel_industry,0.36410837017508174,0.636959529078455
timer_xl,timer_xl_history_blend,joint,17,building_energy,0.23340083709813428,0.3897956477372855
timer_xl,timer_xl_history_blend,joint,17,hydraulic,0.06153741327404549,0.12487832554994253
timer_xl,timer_xl_history_blend,joint,17,metropt,0.42463250976128314,1.0614702457582441
timer_xl,timer_xl_history_blend,joint,17,pmsm,0.044338191356141234,0.123786665681503
timer_xl,timer_xl_history_blend,joint,17,steel_industry,0.3659302840776525,0.6465554786204001
timer_xl,timer_xl_history_blend,joint,29,building_energy,0.2348181140906413,0.3916917082695128
timer_xl,timer_xl_history_blend,joint,29,hydraulic,0.061086288094424186,0.12452681427545328
timer_xl,timer_xl_history_blend,joint,29,metropt,0.42575677430907455,1.0660657332999497
timer_xl,timer_xl_history_blend,joint,29,pmsm,0.044427517650120076,0.12379221722164042
timer_xl,timer_xl_history_blend,joint,29,steel_industry,0.36841125410028164,0.6523088276909098
timer_xl,timer_xl_history_blend,joint,43,building_energy,0.23344751326733298,0.38892730476800136
timer_xl,timer_xl_history_blend,joint,43,hydraulic,0.06221989261805662,0.1261385083655563
timer_xl,timer_xl_history_blend,joint,43,metropt,0.42478790843445646,1.0648926919327681
timer_xl,timer_xl_history_blend,joint,43,pmsm,0.04467883382497973,0.12415119721469427
timer_xl,timer_xl_history_blend,joint,43,steel_industry,0.3687342453679961,0.6505164027623438
timer_xl,timer_xl_history_blend,joint,71,building_energy,0.23389475341430807,0.39026885778987147
timer_xl,timer_xl_history_blend,joint,71,hydraulic,0.06151783634607379,0.12479803161610169
timer_xl,timer_xl_history_blend,joint,71,metropt,0.4227115870186852,1.0611173455484182
timer_xl,timer_xl_history_blend,joint,71,pmsm,0.04438874775181381,0.12385177927953396
timer_xl,timer_xl_history_blend,joint,71,steel_industry,0.3682145749449409,0.6510065251037702
timer_xl,timer_xl_history_blend,joint,101,building_energy,0.23467852783408916,0.39136648644390715
timer_xl,timer_xl_history_blend,joint,101,hydraulic,0.06297107067668758,0.12545164088779157
timer_xl,timer_xl_history_blend,joint,101,metropt,0.425410999257822,1.0582370389726026
timer_xl,timer_xl_history_blend,joint,101,pmsm,0.044393683911961405,0.12392949147185171
timer_xl,timer_xl_history_blend,joint,101,steel_industry,0.36907650271862996,0.6526238976741389
gtm,gtm_persistence,loso,17,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,loso,17,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,loso,17,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,loso,17,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,loso,17,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_persistence,loso,29,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,loso,29,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,loso,29,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,loso,29,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,loso,29,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_persistence,loso,43,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,loso,43,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,loso,43,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,loso,43,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,loso,43,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_persistence,loso,71,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,loso,71,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,loso,71,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,loso,71,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,loso,71,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_persistence,loso,101,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,loso,101,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,loso,101,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,loso,101,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,loso,101,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_history_local,loso,17,building_energy,0.26561211757326253,0.4535663371606191
gtm,gtm_history_local,loso,17,hydraulic,0.10475396479141436,0.20520603126548675
gtm,gtm_history_local,loso,17,metropt,0.521802186122391,1.2745500342729446
gtm,gtm_history_local,loso,17,pmsm,0.0448787520407887,0.12687435220184543
gtm,gtm_history_local,loso,17,steel_industry,0.4751807340972876,0.9147946679313842
gtm,gtm_history_local,loso,29,building_energy,0.26561211757326253,0.4535663371606191
gtm,gtm_history_local,loso,29,hydraulic,0.10475396479141436,0.20520603126548675
gtm,gtm_history_local,loso,29,metropt,0.521802186122391,1.2745500342729446
gtm,gtm_history_local,loso,29,pmsm,0.0448787520407887,0.12687435220184543
gtm,gtm_history_local,loso,29,steel_industry,0.4751807340972876,0.9147946679313842
gtm,gtm_history_local,loso,43,building_energy,0.26561211757326253,0.4535663371606191
gtm,gtm_history_local,loso,43,hydraulic,0.10475396479141436,0.20520603126548675
gtm,gtm_history_local,loso,43,metropt,0.521802186122391,1.2745500342729446
gtm,gtm_history_local,loso,43,pmsm,0.0448787520407887,0.12687435220184543
gtm,gtm_history_local,loso,43,steel_industry,0.4751807340972876,0.9147946679313842
gtm,gtm_history_local,loso,71,building_energy,0.26561211757326253,0.4535663371606191
gtm,gtm_history_local,loso,71,hydraulic,0.10475396479141436,0.20520603126548675
gtm,gtm_history_local,loso,71,metropt,0.521802186122391,1.2745500342729446
gtm,gtm_history_local,loso,71,pmsm,0.0448787520407887,0.12687435220184543
gtm,gtm_history_local,loso,71,steel_industry,0.4751807340972876,0.9147946679313842
gtm,gtm_history_local,loso,101,building_energy,0.26561211757326253,0.4535663371606191
gtm,gtm_history_local,loso,101,hydraulic,0.10475396479141436,0.20520603126548675
gtm,gtm_history_local,loso,101,metropt,0.521802186122391,1.2745500342729446
gtm,gtm_history_local,loso,101,pmsm,0.0448787520407887,0.12687435220184543
gtm,gtm_history_local,loso,101,steel_industry,0.4751807340972876,0.9147946679313842
gtm,gtm_persistence_blend,loso,17,building_energy,0.34641160890534545,0.5001137944636647
gtm,gtm_persistence_blend,loso,17,hydraulic,0.17519651468067393,0.2421736493759843
gtm,gtm_persistence_blend,loso,17,metropt,0.5993472809302335,1.2065078766319186
gtm,gtm_persistence_blend,loso,17,pmsm,0.055353435754036645,0.14094674372612878
gtm,gtm_persistence_blend,loso,17,steel_industry,0.48130927689565006,0.8478631317557884
gtm,gtm_persistence_blend,loso,29,building_energy,0.3363125158596423,0.4924294139233947
gtm,gtm_persistence_blend,loso,29,hydraulic,0.17278865034819915,0.24492634139109945
gtm,gtm_persistence_blend,loso,29,metropt,0.5757040264212572,1.193599033846746
gtm,gtm_persistence_blend,loso,29,pmsm,0.055684646144177084,0.14210284454068992
gtm,gtm_persistence_blend,loso,29,steel_industry,0.47978151566974453,0.8472749896457673
gtm,gtm_persistence_blend,loso,43,building_energy,0.34749289884794315,0.49840811414252806
gtm,gtm_persistence_blend,loso,43,hydraulic,0.1308313061793627,0.22297930524424228
gtm,gtm_persistence_blend,loso,43,metropt,0.5890854581250116,1.199175549601361
gtm,gtm_persistence_blend,loso,43,pmsm,0.05602728764846978,0.14233793401708086
gtm,gtm_persistence_blend,loso,43,steel_industry,0.48460809579750863,0.8500236279763598
gtm,gtm_persistence_blend,loso,71,building_energy,0.3387563182514285,0.49248483226868306
gtm,gtm_persistence_blend,loso,71,hydraulic,0.1563888238695855,0.23600646928768126
gtm,gtm_persistence_blend,loso,71,metropt,0.575630807953518,1.1917437335418672
gtm,gtm_persistence_blend,loso,71,pmsm,0.05575638214406924,0.14199325080882008
gtm,gtm_persistence_blend,loso,71,steel_industry,0.47680831240680915,0.8463845982674201
gtm,gtm_persistence_blend,loso,101,building_energy,0.3470439442204646,0.4991478541529085
gtm,gtm_persistence_blend,loso,101,hydraulic,0.14151440384257039,0.23252288629050066
gtm,gtm_persistence_blend,loso,101,metropt,0.5998029991505207,1.2119096169616508
gtm,gtm_persistence_blend,loso,101,pmsm,0.05698703961680498,0.14377141441197513
gtm,gtm_persistence_blend,loso,101,steel_industry,0.4779526855982509,0.8418550095629491
gtm,gtm_history_blend,loso,17,building_energy,0.3309515444202015,0.48446785237067375
gtm,gtm_history_blend,loso,17,hydraulic,0.17492799867163522,0.2417239149828525
gtm,gtm_history_blend,loso,17,metropt,0.5897155550771235,1.1808212709934494
gtm,gtm_history_blend,loso,17,pmsm,0.05474437911374225,0.1398185074695986
gtm,gtm_history_blend,loso,17,steel_industry,0.48278749150378397,0.853055364015486
gtm,gtm_history_blend,loso,29,building_energy,0.3208635653616257,0.47726960554061104
gtm,gtm_history_blend,loso,29,hydraulic,0.17212542189587068,0.24429295369303475
gtm,gtm_history_blend,loso,29,metropt,0.5659915789442579,1.1672770208793721
gtm,gtm_history_blend,loso,29,pmsm,0.05508860548155739,0.1410190737126077
gtm,gtm_history_blend,loso,29,steel_industry,0.48167541703557354,0.8530483941854365
gtm,gtm_history_blend,loso,43,building_energy,0.33230260800963696,0.48285910631227574
gtm,gtm_history_blend,loso,43,hydraulic,0.130330249529695,0.22252137553488852
gtm,gtm_history_blend,loso,43,metropt,0.5807717218401133,1.1733789364389562
gtm,gtm_history_blend,loso,43,pmsm,0.05541255794844577,0.14119894391809232
gtm,gtm_history_blend,loso,43,steel_industry,0.48597220881132497,0.8560044582307441
gtm,gtm_history_blend,loso,71,building_energy,0.32356012320809163,0.4770145453762126
gtm,gtm_history_blend,loso,71,hydraulic,0.15593291331032183,0.23544193367596364
gtm,gtm_history_blend,loso,71,metropt,0.565110506612106,1.165811362630453
gtm,gtm_history_blend,loso,71,pmsm,0.055149521169421345,0.14088094749734115
gtm,gtm_history_blend,loso,71,steel_industry,0.4780943057485486,0.8508052571236393
gtm,gtm_history_blend,loso,101,building_energy,0.3321427667384583,0.483899864475057
gtm,gtm_history_blend,loso,101,hydraulic,0.14086243268639975,0.23194367603235713
gtm,gtm_history_blend,loso,101,metropt,0.5897855292200334,1.186901367574215
gtm,gtm_history_blend,loso,101,pmsm,0.05636921397711269,0.14263824782183618
gtm,gtm_history_blend,loso,101,steel_industry,0.47977659248604854,0.8479559090705932
