method,backbone,system,batch_size,median_ms,mean_ms,p95_ms,windows_per_second,resident_allocated_mib,total_peak_allocated_mib,incremental_peak_allocated_mib,peak_reserved_mib,backbone_calls_per_window,gpu_uuid,exclusive_checks_before_and_after_every_measurement
gtm,gtm,pmsm,8,28.966529498575255,27.81717239995487,30.491367005743086,287.59213499402904,157.07470703125,162.236328125,5.16162109375,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,pmsm,8,111.89117497997358,113.30315499799326,123.74680009961594,70.60703649551233,157.07470703125,162.341796875,5.26708984375,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,steel_industry,1,31.12751548178494,31.25257670180872,35.740770993288606,31.99736167488954,157.0419921875,158.44091796875,1.39892578125,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,steel_industry,1,93.1436415121425,96.42919125035405,114.13840990862809,10.370303712324542,157.0419921875,158.4453125,1.4033203125,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm,gtm,steel_industry,8,28.641333512496203,27.56517869711388,30.549121907097287,290.2212275822327,157.05712890625,160.2099609375,3.15283203125,174.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gtm_gaugeformer,gtm,steel_industry,8,114.84965399722569,115.66804875328671,124.92560437240172,69.16343870435249,157.05712890625,160.2607421875,3.20361328125,174.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,building_energy,1,21.730081498390064,21.912820840952918,24.387085073976777,45.63538429206238,62.15478515625,145.21923828125,83.064453125,194.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,building_energy,1,124.70658149686642,123.53870824736077,130.92852382687852,8.0946289158027,62.15478515625,145.21923828125,83.064453125,194.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,building_energy,8,33.51648198440671,33.14320539648179,38.12312278314494,241.3767740415722,62.22119140625,730.705078125,668.48388671875,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,building_energy,8,115.17770701902919,115.267896905425,119.26126994076185,69.40353918805198,62.22119140625,730.705078125,668.48388671875,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,hydraulic,1,26.57942150835879,26.66311234352179,30.505933464155532,37.50499893321589,62.1513671875,116.4658203125,54.314453125,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,hydraulic,1,119.16930499137379,119.28429635881912,128.67661019263323,8.383333184042096,62.1513671875,116.4658203125,54.314453125,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,hydraulic,8,27.119096514070407,27.53480755200144,30.989563241018914,290.54134425640825,62.19482421875,496.66748046875,434.47265625,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,hydraulic,8,107.11970797274262,111.56228304607794,119.47787939861887,71.7088229244628,62.19482421875,496.66748046875,434.47265625,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,metropt,1,23.707903979811817,24.456088145961985,28.56777488195803,40.88961382669505,62.150390625,101.2939453125,39.1435546875,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,metropt,1,117.49191200942732,117.16874445264693,124.66703100071754,8.534699289230193,62.150390625,101.2939453125,39.1435546875,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,metropt,8,59.544839488808066,65.87737250083592,89.0536286344286,121.43775163313455,62.18603515625,375.29296875,313.10693359375,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
