regime,system,seed,block,elements_per_channel,gaugeformer_v13,moirai,gain
few1,building_energy,43,building_energy:segment-0:day-116,144,0.27224034261235813,0.27136053113192826,-0.0008798114804298707
few1,building_energy,43,building_energy:segment-0:day-117,144,0.2536148801068719,0.2629469870563655,0.009332106949493602
few1,building_energy,43,building_energy:segment-0:day-118,144,0.2272163987158628,0.21881466178832168,-0.00840173692754112
few1,building_energy,43,building_energy:segment-0:day-119,144,0.21131191592133117,0.22022135368218312,0.008909437760851957
few1,building_energy,43,building_energy:segment-0:day-120,144,0.2526429563636344,0.2610188635009725,0.008375907137338101
few1,building_energy,43,building_energy:segment-0:day-121,144,0.19474555723780357,0.20338555260598581,0.008639995368182246
few1,building_energy,43,building_energy:segment-0:day-122,144,0.3161582053746704,0.3279352348296617,0.011777029454991317
few1,building_energy,43,building_energy:segment-0:day-123,144,0.2633885896405245,0.25980842230746426,-0.0035801673330602135
few1,building_energy,43,building_energy:segment-0:day-124,144,0.2322536777278687,0.24075262993843932,0.00849895221057062
few1,building_energy,43,building_energy:segment-0:day-125,144,0.25413868207985085,0.2800140801795074,0.025875398099656555
few1,building_energy,43,building_energy:segment-0:day-126,144,0.23181317744387442,0.22542298236241454,-0.006390195081459882
few1,building_energy,43,building_energy:segment-0:day-127,144,0.2849186487773917,0.2830365362232501,-0.0018821125541416128
few1,building_energy,43,building_energy:segment-0:day-128,144,0.20223131479205997,0.20063948633727413,-0.0015918284547858375
few1,building_energy,43,building_energy:segment-0:day-129,144,0.2361639338749933,0.24714177410589297,0.010977840230899677
few1,building_energy,43,building_energy:segment-0:day-130,144,0.22959098680919818,0.2305973889863823,0.001006402177184118
few1,building_energy,43,building_energy:segment-0:day-131,144,0.1710944445830531,0.16846101964071114,-0.00263342494234195
few1,building_energy,43,building_energy:segment-0:day-132,144,0.2069557532451305,0.22219975401973963,0.015244000774609134
few1,building_energy,43,building_energy:segment-0:day-133,144,0.22293922704362631,0.22682013186531008,0.003880904821683767
few1,building_energy,43,building_energy:segment-0:day-134,144,0.29202715771161525,0.3025697026407981,0.010542544929182829
few1,building_energy,43,building_energy:segment-0:day-135,144,0.2775753499321139,0.27078660939698257,-0.0067887405351313435
few1,building_energy,43,building_energy:segment-0:day-136,120,0.3026582960455575,0.3036259642304456,0.0009676681848880819
few1,building_energy,71,building_energy:segment-0:day-110,120,0.2522677812308643,0.2522677812308643,0.0
few1,building_energy,71,building_energy:segment-0:day-111,144,0.2926719285029264,0.2926719285029264,0.0
few1,building_energy,71,building_energy:segment-0:day-112,144,0.23488090628625702,0.2372838332984174,0.002402927012160383
few1,building_energy,71,building_energy:segment-0:day-113,144,0.28539850940166833,0.27516222209965363,-0.010236287302014702
few1,building_energy,71,building_energy:segment-0:day-114,144,0.23700980211623082,0.2316234161256952,-0.005386385990535619
few1,building_energy,71,building_energy:segment-0:day-115,144,0.2622559044986819,0.25631906567137885,-0.005936838827303059
few1,building_energy,71,building_energy:segment-0:day-116,144,0.2683221737030126,0.271106519157113,0.00278434545410039
few1,building_energy,71,building_energy:segment-0:day-117,144,0.2542514168191191,0.26479527486167964,0.010543858042560528
few1,building_energy,71,building_energy:segment-0:day-118,144,0.22628087402873603,0.21688313731118342,-0.009397736717552618
few1,building_energy,71,building_energy:segment-0:day-119,144,0.2100965766444993,0.22089729221420765,0.010800715569708352
few1,building_energy,71,building_energy:segment-0:day-120,144,0.251992227667465,0.2598288554830231,0.007836627815558106
